 	BX	BY	Width	Height
1	52	0	146	125
2	0	148	59	127
3	159	121	153	102
4	84	248	96	105
5	5	357	248	228
6	321	0	127	93
7	487	0	175	77
8	671	143	80	114
9	482	125	110	105
10	421	257	71	87
11	457	360	55	70
12	253	366	54	53
13	330	398	100	164
14	278	653	100	98
15	23	608	241	232
16	555	305	75	64
17	658	289	72	73
18	594	387	82	64
19	769	282	68	98
20	858	266	82	103
21	908	75	86	105
22	621	0	294	209
23	1015	0	89	48
24	1010	71	166	177
25	1224	61	59	82
26	1258	139	89	98
27	1420	36	93	91
28	1222	0	89	32
29	1602	0	173	102
30	1886	9	66	57
31	1987	27	61	71
32	1948	91	84	75
33	1864	146	66	113
34	1725	255	109	89
35	1877	280	107	107
36	1657	346	56	66
37	1545	380	52	73
38	1600	143	77	57
39	1381	157	203	250
40	1222	346	93	116
41	1304	280	70	107
42	1379	476	141	154
43	1110	296	91	120
44	1054	416	97	114
45	951	280	89	102
46	903	380	126	102
47	897	480	81	84
48	703	441	128	148
49	612	555	107	75
50	785	589	109	91
51	835	669	105	98
52	528	705	130	142
53	444	844	93	89
54	446	621	73	87
55	348	774	82	52
56	284	856	76	125
57	209	878	60	198
58	23	842	116	73
59	0	1001	137	114
60	209	1079	85	68
61	114	1113	91	116
62	218	1215	126	130
63	102	1297	96	116
64	0	1263	86	146
65	362	1242	202	203
66	375	1497	101	132
67	264	1495	171	205
68	46	1500	84	136
69	0	1463	228	253
70	66	1807	75	91
71	428	1795	100	80
72	91	1868	184	180
73	0	1955	39	93
74	0	1422	471	571
75	753	1545	210	203
76	831	1609	241	239
77	819	1006	223	175
78	781	849	250	186
79	669	1989	89	54
80	1079	799	72	75
81	1176	617	82	63
82	1329	744	82	121
83	1318	849	104	93
84	1470	749	284	211
85	1440	978	187	169
86	1668	969	100	94
87	1495	692	157	79
88	1702	489	184	112
89	2005	305	43	111
90	1916	521	132	159
91	1871	669	131	112
92	1768	778	139	150
93	1654	448	394	526
94	1693	1097	93	102
95	1595	1190	89	87
96	1684	1220	111	77
97	1823	1099	127	162
98	1975	1060	73	78
99	1996	981	52	59
100	1529	1368	100	129
101	1306	1527	205	209
102	1368	1602	209	177
103	1936	1668	89	111
104	1693	1236	319	382
105	1893	1861	84	85
106	1996	1852	52	59
107	1550	1968	109	80
108	1345	1966	123	82
109	1921	1998	86	50
