 	BX	BY	Width	Height
1	49	0	66	48
2	40	61	57	82
3	125	0	248	88
4	345	13	75	96
5	132	143	55	94
6	199	177	77	108
7	97	299	66	85
8	0	228	57	136
9	441	0	247	63
10	660	20	125	111
11	804	0	83	67
12	951	31	64	68
13	823	116	76	80
14	925	212	74	68
15	893	308	55	65
16	707	251	69	86
17	601	215	55	66
18	485	145	115	114
19	380	240	64	65
20	284	271	139	150
21	60	356	187	263
22	211	632	78	101
23	313	617	164	110
24	493	591	74	104
25	421	420	60	56
26	528	363	87	52
27	611	404	84	73
28	608	520	79	88
29	553	651	68	73
30	767	467	213	182
31	284	769	63	59
32	92	827	101	100
33	237	863	79	65
34	339	840	57	60
35	455	945	122	79
36	327	923	160	101
37	647	820	210	204
38	703	784	60	60
39	857	835	68	76
40	944	916	67	76
