 	BX	BY	Width	Height
1	405	7	138	32
2	704	107	99	126
3	324	79	56	56
4	0	0	49	65
5	380	172	59	61
6	521	47	76	68
7	977	4	47	124
8	379	328	73	59
9	23	472	61	65
10	323	395	54	77
11	0	193	64	114
12	455	575	72	100
13	549	296	71	80
14	789	411	88	118
15	784	259	63	90
16	951	307	70	105
17	605	453	62	76
18	652	589	56	82
19	120	579	61	65
20	51	660	50	53
21	12	765	72	86
22	0	967	92	57
23	284	743	75	110
24	449	955	79	69
25	119	351	126	156
26	208	568	131	152
27	0	72	137	87
28	469	743	84	92
29	701	741	74	75
30	713	897	72	68
31	855	933	57	59
32	821	769	120	88
33	965	699	59	85
34	225	991	62	33
35	0	896	79	69
36	511	384	64	81
37	639	265	61	68
38	323	196	48	67
39	561	669	94	99
40	373	717	95	82
41	285	868	94	56
