 	BX	BY	Width	Height
1	13	424	226	95
2	292	3	96	48
3	273	164	120	85
4	245	327	95	65
5	460	348	79	76
6	593	141	75	71
7	467	113	74	70
8	449	240	75	61
9	609	3	124	74
10	855	7	92	112
11	965	1	59	148
12	737	128	90	93
13	903	163	109	146
14	712	247	64	65
15	621	395	87	66
16	0	161	55	71
17	235	611	121	80
18	189	763	70	81
19	120	709	65	60
20	109	857	80	90
21	253	877	84	90
22	409	773	71	87
23	441	1	95	76
24	568	631	96	72
25	789	473	94	155
26	903	524	121	79
27	869	680	155	132
28	669	735	188	80
29	809	867	106	69
30	600	969	89	55
31	413	919	104	72
32	809	983	90	41
33	540	729	103	88
34	11	940	208	84
35	304	972	65	48
36	247	481	142	55
37	20	524	156	47
38	264	729	107	110
39	155	53	62	62
40	585	485	110	83
41	763	336	76	83
42	888	360	71	77
43	427	673	57	50
44	12	263	207	148
45	541	239	151	126
46	1	5	131	147
